Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.211,0.016625,-1.43876,0.000224002,-0.0244469,-0.0239366,-0.016625
0.212,0.0176724,2.4099,0.000200781,-0.0219961,-0.0215267,-0.0176724
0.213,0.0159015,2.15778,0.000179882,-0.0198016,-0.0193689,-0.0159015
0.214,0.0143159,-0.12385,0.000160036,-0.0198912,-0.0194927,-0.0143159
0.215,0.0144014,-1.71893,0.000139303,-0.021575,-0.0212117,-0.0144014
0.216,0.0156547,-0.41474,0.000117539,-0.0219524,-0.0216264,-0.0156547
0.217,0.0159527,2.57592,9.68929e-05,-0.0193398,-0.0190505,-0.0159527
0.218,0.0140609,0.586368,7.78629e-05,-0.0187204,-0.0184641,-0.0140609
0.219,0.0136264,0.426242,5.93717e-05,-0.018262,-0.0180379,-0.0136264
0.22,0.0133094,-0.861063,4.06951e-05,-0.0190911,-0.0188989,-0.0133094
0.221,0.013935,0.385684,2.18132e-05,-0.0186726,-0.0185133,-0.013935
0.222,0.0136475,-2.27869,2.01783e-06,-0.0209178,-0.0207919,-0.0136475
0.223,0.0153109,2.03794,-1.78633e-05,-0.0188447,-0.018754,-0.0153109
0.224,0.0138132,-1.8633,-3.7623e-05,-0.0206744,-0.0206173,-0.0138132
0.225,0.0151724,1.32829,-5.76156e-05,-0.019311,-0.019289,-0.0151724
0.226,0.0141942,-0.848979,-7.73342e-05,-0.0201261,-0.020138,-0.0141942
0.227,0.0148106,0.0443087,-9.74206e-05,-0.0200468,-0.0200937,-0.0148106
0.228,0.0147727,0.146675,-0.000117377,-0.0198654,-0.019947,-0.0147727
0.229,0.0146599,-1.08982,-0.00013777,-0.0209202,-0.0210368,-0.0146599
0.23,0.0154524,-3.29268,-0.000160318,-0.0241749,-0.0243295,-0.0154524
0.231,0.0178576,-2.63114,-0.000185787,-0.0267627,-0.0269607,-0.0178576
0.232,0.0197774,0.945226,-0.000212054,-0.0257714,-0.0260154,-0.0197774
0.233,0.0190781,1.50487,-0.00023705,-0.0242225,-0.0245106,-0.0190781
0.234,0.0179691,-0.149096,-0.000261326,-0.0243293,-0.0246597,-0.0179691
0.235,0.0180716,-0.888834,-0.000286079,-0.0251754,-0.0255485,-0.0180716
0.236,0.0187157,-3.41911,-0.000312941,-0.0285489,-0.0289676,-0.0187157
0.237,0.0212122,0.804341,-0.000341063,-0.0276952,-0.0281633,-0.0212122
0.238,0.0206154,-0.70413,-0.000369086,-0.0283507,-0.0288674,-0.0206154
0.239,0.0211232,-0.223065,-0.000397524,-0.0285242,-0.0290905,-0.0211232
0.24,0.0212787,1.37187,-0.000425337,-0.0271032,-0.0277186,-0.0212787
0.241,0.0202663,1.76488,-0.000451535,-0.0252919,-0.0259537,-0.0202663
0.242,0.0189665,0.501116,-0.000476554,-0.0247468,-0.0254526,-0.0189665
0.243,0.0185925,2.00768,-0.000500275,-0.0226968,-0.0234449,-0.0185925
0.244,0.0171155,2.85904,-0.000521523,-0.0197994,-0.0205859,-0.0171155
0.245,0.0150157,1.26275,-0.000540674,-0.0185025,-0.0193231,-0.0150157
0.246,0.0140854,0.583127,-0.000558869,-0.0178871,-0.01874,-0.0140854
0.247,0.0136531,-1.31421,-0.000577397,-0.0191691,-0.0200542,-0.0136531
